# hostmass phase wavelength flux
0.000000 -7.000000 4170.000000 0.194581
0.000000 -7.000000 4180.000000 0.190526
0.000000 -7.000000 4190.000000 0.193977
0.000000 -7.000000 4200.000000 0.190308
0.000000 -7.000000 4210.000000 0.199655
0.000000 -7.000000 4220.000000 0.204123
0.000000 -7.000000 4230.000000 0.194794
0.000000 -7.000000 4240.000000 0.190533
0.000000 -7.000000 4250.000000 0.176523
0.000000 -7.000000 4260.000000 0.166267
0.000000 -7.000000 4270.000000 0.150725
0.000000 -7.000000 4280.000000 0.143184
0.000000 -7.000000 4290.000000 0.128963
0.000000 -7.000000 4300.000000 0.131833
0.000000 -7.000000 4310.000000 0.124513
0.000000 -7.000000 4320.000000 0.115369
0.000000 -7.000000 4330.000000 0.120820
0.000000 -7.000000 4340.000000 0.124334
0.000000 -7.000000 4350.000000 0.125269
0.000000 -7.000000 4360.000000 0.126418
0.000000 -7.000000 4370.000000 0.117058
0.000000 -7.000000 4380.000000 0.095939
0.000000 -7.000000 4390.000000 0.077375
0.000000 -7.000000 4400.000000 0.071702
0.000000 -7.000000 4410.000000 0.068086
0.000000 -7.000000 4420.000000 0.080081
0.000000 -7.000000 4430.000000 0.093045
0.000000 -7.000000 4440.000000 0.112575
0.000000 -7.000000 4450.000000 0.119180
0.000000 -7.000000 4460.000000 0.115257
0.000000 -7.000000 4470.000000 0.118543
0.000000 -7.000000 4480.000000 0.125195
0.000000 -7.000000 4490.000000 0.124195
0.000000 -7.000000 4500.000000 0.130029
0.000000 -7.000000 4510.000000 0.126739
0.000000 -7.000000 4520.000000 0.129044
0.000000 -7.000000 4530.000000 0.129758
0.000000 -7.000000 4540.000000 0.139673
0.000000 -7.000000 4550.000000 0.135696
0.000000 -7.000000 4560.000000 0.146505
0.000000 -7.000000 4570.000000 0.154051
0.000000 -7.000000 4580.000000 0.162040
0.000000 -7.000000 4590.000000 0.169389
0.000000 -7.000000 4600.000000 0.169068
0.000000 -7.000000 4610.000000 0.172571
0.000000 -7.000000 4620.000000 0.167750
0.000000 -7.000000 4630.000000 0.161269
0.000000 -7.000000 4640.000000 0.152160
0.000000 -7.000000 4650.000000 0.144032
0.000000 -7.000000 4660.000000 0.149890
0.000000 -7.000000 4670.000000 0.167790
0.000000 -7.000000 4680.000000 0.176162
0.000000 -7.000000 4690.000000 0.183144
0.000000 -7.000000 4700.000000 0.184629
0.000000 -7.000000 4710.000000 0.180409
0.000000 -7.000000 4720.000000 0.162448
